Time,Precipitation,pressure,humidex,Rosee,Temperature,Chill,Humidite,Dir_wind,Mod_wind
19-05-27_16,0.0,1065.0,21.0,2.8,16.4,16.4,40.0,276.0,15.0
19-05-27_17,0.0,1065.0,22.0,1.5,17.1,17.1,35.0,283.0,11.0
19-05-27_18,0.0,1065.0,22.0,0.5,16.8,16.8,33.0,279.0,13.0
19-05-27_19,0.0,1065.0,23.0,-0.6,17.6,17.6,29.0,270.0,13.0
19-05-27_20,0.0,1065.0,22.0,-2.2,16.9,16.9,27.0,268.0,14.0
19-05-27_21,0.0,1065.0,22.0,-2.2,16.9,16.9,27.0,268.0,17.0
19-05-27_22,0.0,1065.0,22.0,-1.9,16.7,16.7,28.0,269.0,18.0
19-05-27_23,0.0,1065.0,22.0,-2.5,16.6,16.6,27.0,274.0,9.0
19-05-28_00,0.0,1065.0,21.0,-2.0,16.5,16.5,28.0,118.0,8.0
19-05-28_01,0.0,1065.0,21.0,-2.0,16.5,16.5,28.0,103.0,7.0
19-05-28_02,0.0,1066.0,16.0,-3.4,13.3,13.3,31.0,117.0,7.0
19-05-28_03,0.0,1066.0,15.0,-2.6,12.8,12.8,34.0,97.0,5.0
19-05-28_04,0.0,1067.0,15.0,-1.3,12.2,12.2,39.0,131.0,7.0
19-05-28_05,0.0,1067.0,14.0,-1.2,11.6,11.6,41.0,105.0,6.0
19-05-28_06,0.0,1065.0,21.0,-2.6,16.4,16.4,27.0,74.0,5.0
19-05-28_07,0.0,1065.0,21.0,-2.7,16.3,16.3,27.0,99.0,7.0
19-05-28_08,0.0,1065.0,21.0,-2.3,16.2,16.2,28.0,121.0,9.0
19-05-28_09,0.0,1066.0,20.0,-2.1,15.9,15.9,29.0,125.0,8.0
19-05-28_10,0.0,1066.0,20.0,-1.7,15.8,15.8,30.0,123.0,8.0
19-05-28_11,0.0,1066.0,20.0,-1.4,15.6,15.6,31.0,123.0,8.0
19-05-28_12,0.0,1063.0,16.0,4.1,12.9,12.9,55.0,145.0,8.0
19-05-28_13,0.0,1062.0,15.0,5.8,12.2,12.2,65.0,129.0,13.0
19-05-28_14,0.0,1062.0,13.0,7.5,11.4,11.4,77.0,145.0,12.0
19-05-28_15,0.55,1061.0,13.0,8.1,11.4,11.4,80.0,130.0,11.0
19-05-28_16,0.0,1066.0,20.0,-0.2,15.6,15.6,34.0,132.0,13.0
