,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,4.03,0.02,0.0,0.0,0.0,0.0
NNE,0.0,0.0,0.0,0.0,0.02,0.0
NE,0.0,0.04,0.36,0.51,0.67,0.0
ENE,0.0,0.09,0.54,0.92,1.16,0.0
E,0.0,0.18,0.43,0.69,0.49,0.0
ESE,0.0,0.2,0.63,0.76,0.45,0.0
SE,0.0,0.04,0.16,0.31,0.16,0.0
SSE,0.0,0.04,0.25,0.13,0.07,0.0
S,0.0,0.02,0.11,0.13,0.07,0.0
SSW,0.02,0.09,0.16,0.07,0.11,0.0
SW,0.0,0.04,0.07,0.13,0.04,0.0
WSW,0.0,0.11,0.25,0.13,0.16,0.0
W,0.0,0.13,0.4,0.49,0.54,0.0
WNW,0.0,0.04,0.36,0.74,0.18,0.0
NW,0.0,0.0,0.04,0.27,0.16,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
